condition,seed,n_samples,n_features,n_modules,module_size,n_signal_modules,maximum_step,max_epochs,batch_size,learning_rate,dropout,source_shift,source_noise,label_noise,partition_note,feature_scope,target_features,n_model_input_features,connection_layer_sizes,n_sparse_connections,n_routable_sources,n_parameters,train_seconds,total_seconds,label_mean,signed_source_signal_separation,source_abs_signal_separation,train_loss,train_accuracy,train_balanced_accuracy,train_roc_auc,val_loss,val_accuracy,val_balanced_accuracy,val_roc_auc,test_loss,test_accuracy,test_balanced_accuracy,test_roc_auc,run_status,run_error
wrong_graph_decoy,3407,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|17|12|6,20,0,74282,4.683858231990598,4.747217538999394,0.5,1.8316235633827924,0.0014272928237915,0.6796130836009979,0.5462962962962963,0.5462962962962963,0.5842524005486969,0.6844147592782974,0.5166666666666667,0.5166666666666667,0.5644444444444444,0.7002972811460495,0.5055555555555555,0.5055555555555555,0.5114814814814814,ok,
wrong_graph_decoy,14526,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|27|15|6,35,0,118292,5.246940891025588,5.316608372959308,0.5,2.025281023211233,-0.0021086931228637,0.6815502047538757,0.5574074074074075,0.5574074074074074,0.5922359396433471,0.7136911600828171,0.4611111111111111,0.4611111111111111,0.4577777777777778,0.7118249237537384,0.4722222222222222,0.4722222222222222,0.4611111111111111,ok,
wrong_graph_decoy,91011,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,density_matched_random_graph_without_true_source_route,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|16|10|6,17,0,69782,4.513335203984752,4.583576350007206,0.5,2.033099339028951,-0.0017116069793701,0.6849149962266287,0.5481481481481482,0.5481481481481482,0.5809190672153635,0.7189202159643173,0.4611111111111111,0.4611111111111111,0.424320987654321,0.7014247924089432,0.4944444444444444,0.4944444444444444,0.4903703703703703,ok,
random_layer_matched,2027,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,99,0,207410,7.397484760032967,7.460957880946808,0.5,2.002846892399776,0.001644492149353,0.6330038223947797,0.6566666666666666,0.6566666666666667,0.7085333333333333,0.6925299167633057,0.53,0.53,0.5428000000000001,0.7061906258265177,0.57,0.5700000000000001,0.5792,ok,
random_layer_matched,2781,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,101,4,207410,6.265642259037122,6.329476978047751,0.5,2.013708026336612,-0.0036820173263549,0.4399474688938686,0.91,0.91,0.9559555555555554,0.466188629468282,0.86,0.86,0.9104,0.468026340007782,0.86,0.86,0.9092,ok,
random_layer_matched,3407,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,4,207410,6.852293714997359,6.910273969057016,0.5,2.041019302022519,0.0027440786361694,0.3836631689752851,0.9666666666666668,0.9666666666666668,0.9905333333333334,0.3986510932445526,0.98,0.98,0.9812,0.3961998025576274,0.96,0.96,0.9964,ok,
random_layer_matched,14526,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,4,207410,6.955935151083395,7.014582809992135,0.5,1.8849112557950207,0.0029953718185424,0.51187806895801,0.84,0.8400000000000001,0.9155111111111112,0.623012125492096,0.7,0.7,0.8240000000000001,0.5731346805890402,0.8,0.8,0.8744000000000001,ok,
random_layer_matched,91011,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,97,1,207410,7.44003602094017,7.503834352944978,0.5,2.029116432782553,0.0013095140457153,0.5233820123331887,0.8466666666666667,0.8466666666666667,0.8997777777777778,0.5939206878344218,0.71,0.71,0.7504,0.5079825421174368,0.77,0.77,0.8476,ok,
random_layer_matched,2027,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,105,3,265010,14.574587213923223,14.768898395937867,0.5,2.0601495975912094,0.0005503892898559,0.3527176852027575,0.9777777777777776,0.977777777777778,0.990315500685871,0.3832025602459907,0.9388888888888888,0.9388888888888888,0.9817283950617284,0.3761527314782142,0.9388888888888888,0.9388888888888888,0.9704938271604938,ok,
random_layer_matched,2781,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,103,1,265010,15.670093400985934,15.898516154964454,0.5,2.025767798171256,0.0059716701507568,0.3966973995169003,0.9518518518518518,0.9518518518518518,0.9824965706447188,0.4390973895788193,0.8833333333333333,0.8833333333333333,0.9428395061728396,0.4274638816714287,0.9,0.8999999999999999,0.9698765432098766,ok,
random_layer_matched,3407,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,101,2,265010,14.378821416059507,14.580262762960048,0.5,1.8316235633827924,0.0014272928237915,0.4318013464411099,0.9074074074074074,0.9074074074074074,0.9522770919067216,0.4338166266679764,0.8944444444444445,0.8944444444444444,0.9407407407407408,0.4341993406414985,0.9,0.9,0.9444444444444444,ok,
random_layer_matched,14526,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,102,3,265010,15.066216925974004,15.29286594199948,0.5,2.025281023211233,-0.0021086931228637,0.3604180067777633,0.9648148148148148,0.9648148148148148,0.9884224965706448,0.3818940594792366,0.9555555555555556,0.9555555555555556,0.9806172839506172,0.3848483934998512,0.95,0.95,0.9762962962962964,ok,
random_layer_matched,91011,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,all_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,101,1,265010,14.669070046045816,14.864099541911855,0.5,2.033099339028951,-0.0017116069793701,0.6577889968951544,0.5962962962962963,0.5962962962962963,0.6540603566529493,0.7058061361312866,0.5055555555555555,0.5055555555555555,0.5407407407407407,0.6999152153730392,0.5,0.5,0.5323456790123458,ok,
partial_inner_random,2027,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,99,36,207410,7.2385404269443825,7.301265528076328,0.5,2.002846892399776,0.001644492149353,0.3408068716526031,0.9866666666666668,0.9866666666666666,0.991511111111111,0.3442637224992116,0.98,0.98,0.9916,0.3443337579568227,0.98,0.98,0.9836,ok,
partial_inner_random,2781,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,101,36,207410,6.060106568969786,6.12273271905724,0.5,2.013708026336612,-0.0036820173263549,0.3692735518727983,0.97,0.97,0.9846222222222224,0.3656873206297557,0.97,0.97,0.9748,0.3818204601605733,0.93,0.93,0.9556,ok,
partial_inner_random,3407,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,36,207410,6.96728887304198,7.024997573927976,0.5,2.041019302022519,0.0027440786361694,0.342869405235563,0.9866666666666668,0.9866666666666666,0.993022222222222,0.3770818710327148,0.97,0.97,0.9836,0.3483415742715199,1.0,1.0,1.0,ok,
partial_inner_random,14526,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,102,36,207410,6.966205914970487,7.024049255996943,0.5,1.8849112557950207,0.0029953718185424,0.3574575866971697,0.97,0.97,0.9742666666666666,0.447929839293162,0.92,0.92,0.9448,0.4032492041587829,0.95,0.95,0.9596,ok,
partial_inner_random,91011,500,840,30,28,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|28|56|84|112|140,840,840|60|24|6,97,36,207410,7.406201598001644,7.469304736936465,0.5,2.029116432782553,0.0013095140457153,0.3493011338370187,0.9833333333333332,0.9833333333333334,0.9840888888888888,0.3633255958557129,0.98,0.98,0.9824,0.360438326994578,0.95,0.95,0.9808,ok,
partial_inner_random,2027,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,105,36,265010,14.241078060003929,14.44433874101378,0.5,2.0601495975912094,0.0005503892898559,0.3212561209996541,0.9944444444444444,0.9944444444444444,0.9961042524005488,0.3300240412354469,0.9888888888888888,0.9888888888888888,0.9838271604938272,0.331103540956974,0.9833333333333332,0.9833333333333334,0.9949382716049382,ok,
partial_inner_random,2781,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,103,36,265010,15.385436690994538,15.602987213991582,0.5,2.025767798171256,0.0059716701507568,0.3240969330072403,0.9907407407407408,0.9907407407407408,0.9954732510288066,0.3498172685503959,0.9722222222222222,0.9722222222222222,0.9704938271604938,0.3274713829159736,0.9944444444444444,0.9944444444444444,0.9904938271604938,ok,
partial_inner_random,3407,900,1080,30,36,6,2,90,48,0.001,0.1,1.0,0.2,0.45,inner_sparse_masks_randomized_with_original_layer_sizes,graph_constrained_full_input,0|36|72|108|144|180,1080,1080|60|24|6,101,36,265010,14.442946955095977,14.637965964968316,0.5,1.8316235633827924,0.0014272928237915,0.3405587896704674,0.9722222222222222,0.9722222222222222,0.9794238683127572,0.3534164205193519,0.9611111111111112,0.9611111111111112,0.9544444444444444,0.3375844433903694,0.9777777777777776,0.977777777777778,0.9734567901234568,ok,
